Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_1_Severity,Symptom_2_Severity,Symptom_3_Severity,Symptom_4_Severity,Symptom_5_Severity,Symptom_6_Severity,Symptom_7_Severity,Symptom_8_Severity,Symptom_9_Severity,Symptom_10_Severity,Symptom_11_Severity,Symptom_12_Severity,Symptom_13_Severity,Symptom_14_Severity,Symptom_15_Severity,Symptom_16_Severity,Symptom_17_Severity,Total Severity
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,28
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,25
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,24
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,23
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,,5,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,24
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,,5,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,21
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,23
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,25
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,24
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,23
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,26
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,25
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,1,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,21
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,1,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,23
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,1,5,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,21
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,22
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,22
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,22
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,26
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,26
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,22
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,23
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,22
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,22
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,23
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,,,,,,,,,,,,,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,23
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,22
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,,,,,5,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,23
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,27
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,27
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,41
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,41
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0,37
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,4,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0,38
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,4,3,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0,36
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,4,3,5,5,5,4,4,5,4,0,0,0,0,0,0,0,0,39
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,4,3,5,2,5,4,4,5,4,0,0,0,0,0,0,0,0,36
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,4,3,5,2,5,4,4,5,4,0,0,0,0,0,0,0,0,36
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0,37
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0,37
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,,,,,,,,,,,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,28
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,24
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,24
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,21
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,,4,4,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,24
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,,4,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,23
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,,4,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,24
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,28
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,24
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,24
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,21
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Hypertension , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Hypertension , headache, chest_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,21
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,32
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0,29
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,3,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0,27
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,3,5,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0,29
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,3,5,3,4,4,3,2,3,0,0,0,0,0,0,0,0,0,27
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,3,5,3,5,4,3,2,3,0,0,0,0,0,0,0,0,0,28
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,,,,,,,,,,3,5,3,5,4,3,2,3,0,0,0,0,0,0,0,0,0,28
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,,3,5,3,5,4,4,2,3,0,0,0,0,0,0,0,0,0,29
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,,,,,,,,,,3,5,3,5,4,4,3,3,0,0,0,0,0,0,0,0,0,30
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,,,,,,,,,,3,5,3,5,4,4,3,2,0,0,0,0,0,0,0,0,0,29
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,23
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,23
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,23
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,,,,,,,,,,,,,,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,31
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,31
Jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0,30
Jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,1,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0,26
Jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,1,5,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0,27
Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,1,5,4,7,3,4,4,0,0,0,0,0,0,0,0,0,0,28
Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,1,5,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0,24
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,,,,,,,,,,,1,5,4,3,7,4,4,0,0,0,0,0,0,0,0,0,0,28
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,,,,,,,,,,,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0,27
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,,,,,,,,,,,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0,27
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,3,5,7,3,3,5,2,0,0,0,0,0,0,0,0,0,0,28
